,assignee_key_id,assignee_lastknown_country,assignee_lastknown_latitude,assignee_lastknown_longitude
0,326745,US,32.9125,-96.6386
1,9731,US,32.9125,-96.6386
2,329786,US,32.9125,-96.6386
3,77129,US,32.9125,-96.6386
4,16873,US,32.9125,-96.6386
5,243098,US,32.9125,-96.6386
6,127202,US,32.9125,-96.6386
7,99503,US,32.9125,-96.6386
8,182619,US,32.5006,-94.7403
9,96909,US,32.9125,-96.6386
10,239510,US,32.9125,-96.6386
11,150955,US,34.0522,-118.243
12,175203,US,32.9125,-96.6386
13,151479,US,32.9125,-96.6386
14,133178,US,32.9125,-96.6386
15,33417,US,32.9125,-96.6386
16,344507,US,32.9125,-96.6386
17,161437,US,32.9125,-96.6386
18,210246,US,32.9125,-96.6386
19,142405,US,32.9125,-96.6386
20,434439,US,32.9125,-96.6386
21,104917,US,32.9125,-96.6386
22,74508,GB,54,-4
23,339252,US,32.9125,-96.6386
24,64438,US,32.9125,-96.6386
25,423289,US,34.2694,-118.781
26,287074,US,32.9125,-96.6386
27,344253,US,32.9125,-96.6386
28,7773,US,32.9125,-96.6386
29,452051,US,32.9125,-96.6386
30,327819,US,32.9125,-96.6386
31,443652,US,32.9125,-96.6386
32,29515,US,30.2669,-97.7428
33,368104,US,38.8339,-104.821
34,134975,US,32.9125,-96.6386
35,376955,US,32.9125,-96.6386
36,139126,US,32.9125,-96.6386
37,449946,US,32.7833,-96.8
38,367953,US,32.9125,-96.6386
39,188060,US,32.9125,-96.6386
40,127363,US,32.9125,-96.6386
41,178471,US,29.7631,-95.3631
42,313009,US,32.9125,-96.6386
43,112775,US,32.9125,-96.6386
44,282638,US,32.9125,-96.6386
45,413192,US,32.9125,-96.6386
46,116588,US,32.9125,-96.6386
47,363251,US,32.9125,-96.6386
48,32629,US,32.7833,-96.8
49,351315,US,32.9125,-96.6386
50,403754,US,32.9125,-96.6386
51,157412,US,32.9125,-96.6386
52,476804,US,32.9125,-96.6386
53,18712,US,32.9125,-96.6386
54,189007,US,32.9125,-96.6386
55,51799,US,29.7631,-95.3631
56,395539,US,32.9125,-96.6386
57,330838,US,32.9125,-96.6386
58,397038,US,32.9125,-96.6386
59,438721,US,32.9125,-96.6386
60,462068,US,32.9125,-96.6386
61,69029,US,32.9125,-96.6386
62,53297,US,32.9125,-96.6386
63,319159,US,32.9125,-96.6386
64,398452,US,32.7833,-96.8
65,461648,US,32.9125,-96.6386
66,62917,US,32.9125,-96.6386
67,368777,US,32.9125,-96.6386
68,98915,US,32.9125,-96.6386
69,118495,US,32.9125,-96.6386
70,264945,US,32.9125,-96.6386
71,297896,US,32.9125,-96.6386
72,326263,US,32.9125,-96.6386
73,81825,US,32.9125,-96.6386
74,336292,US,33.0461,-96.9939
75,432435,US,32.9125,-96.6386
76,359196,US,32.9125,-96.6386
77,400633,US,32.9125,-96.6386
78,136364,US,32.9125,-96.6386
79,435449,US,32.9125,-96.6386
80,445144,US,32.9125,-96.6386
81,476442,US,32.9125,-96.6386
82,169657,US,32.9125,-96.6386
83,353263,US,32.9125,-96.6386
84,281355,US,32.9125,-96.6386
85,374630,US,32.9125,-96.6386
86,109664,US,32.9125,-96.6386
87,99857,US,32.9125,-96.6386
88,11405,US,32.9125,-96.6386
89,138822,US,32.9125,-96.6386
90,278366,US,32.9125,-96.6386
91,155657,US,34.7744,-96.6781
92,318010,US,32.9125,-96.6386
93,363041,US,32.9125,-96.6386
94,85407,US,32.9125,-96.6386
95,129219,US,32.9125,-96.6386
96,177173,US,32.9125,-96.6386
97,326559,US,32.9125,-96.6386
98,31354,US,38.8858,-94.5328
99,341194,US,42.3764,-71.2361
100,444542,US,32.9125,-96.6386
101,450430,US,32.9125,-96.6386
102,327639,US,32.9125,-96.6386
103,455572,US,32.9125,-96.6386
104,345752,US,32.9125,-96.6386
105,122486,US,32.9125,-96.6386
106,396489,US,32.9125,-96.6386
107,253489,US,32.7833,-96.8
108,148561,US,32.9125,-96.6386
109,387474,US,32.9125,-96.6386
110,51786,US,32.9125,-96.6386
111,338063,US,32.9125,-96.6386
112,455689,US,32.9125,-96.6386
113,404624,US,32.9125,-96.6386
114,87475,US,32.9125,-96.6386
115,336116,US,32.9125,-96.6386
116,60991,US,32.9125,-96.6386
117,218205,US,32.9125,-96.6386
118,284938,US,32.9125,-96.6386
119,79434,US,32.9125,-96.6386
120,293672,US,32.9125,-96.6386
121,150827,US,32.9125,-96.6386
122,176034,US,32.9125,-96.6386
123,236569,US,32.9125,-96.6386
124,450018,US,32.9125,-96.6386
125,113872,US,32.9761,-96.595
126,342495,US,32.9125,-96.6386
127,162438,US,32.9125,-96.6386
128,23836,US,32.9125,-96.6386
129,185746,US,33.0197,-96.6986
130,395585,US,32.9125,-96.6386
131,272777,US,32.7833,-96.8
132,456641,US,32.9125,-96.6386
133,150766,US,32.9125,-96.6386
134,147909,US,30.0033,-91.8186
135,163302,US,32.9125,-96.6386
136,379140,US,32.9125,-96.6386
137,438568,US,32.9125,-96.6386
138,232749,US,32.9125,-96.6386
139,17568,US,32.9125,-96.6386
140,35107,US,32.7833,-96.8
141,287907,US,32.9125,-96.6386
142,448796,US,32.9125,-96.6386
143,470970,US,32.9125,-96.6386
144,168810,US,32.9125,-96.6386
145,312121,US,32.9125,-96.6386
146,447201,US,32.9125,-96.6386
