app_date,app_number,app_id,cpc_section_id
1/8/2018,15864067.0,15/864067,B
,,,F
1/30/2018,15883541.0,15/883541,C
1/5/2018,15863464.0,15/863464,A
,,,C
,,,G
1/2/2018,15859825.0,15/859825,A
,,,E
,,,F
2/14/2018,15896613.0,15/896613,G
2/15/2018,15897547.0,15/897547,G
,,,H
2/20/2018,15899962.0,15/899962,G
1/12/2018,15869103.0,15/869103,G
,,,H
2/14/2018,15896470.0,15/896470,A
,,,G
1/12/2018,15870539.0,15/870539,G
,,,Y
1/22/2018,15876873.0,15/876873,H
1/12/2018,15869687.0,15/869687,H
1/30/2018,15883840.0,15/883840,H
1/19/2018,15874884.0,15/874884,H
,,,Y
1/5/2018,15863601.0,15/863601,H
3/12/2018,15918012.0,15/918012,G
,,,H
2/8/2018,15891712.0,15/891712,G
,,,H
1/3/2018,15861645.0,15/861645,G
,,,H
1/30/2018,15883993.0,15/883993,A
2/23/2018,15904082.0,15/904082,A
,,,B
,,,G
1/4/2018,15862110.0,15/862110,A
1/26/2018,15881177.0,15/881177,A
,,,Y
1/11/2018,15868450.0,15/868450,A
,,,C
1/11/2018,15868459.0,15/868459,A
,,,C
2/8/2018,15891922.0,15/891922,A
,,,C
