app_date,app_number,app_id
1/8/2018,15864067.0,15/864067
1/30/2018,15883541.0,15/883541
1/5/2018,15863464.0,15/863464
1/2/2018,15859825.0,15/859825
2/14/2018,15896613.0,15/896613
2/15/2018,15897547.0,15/897547
2/20/2018,15899962.0,15/899962
1/12/2018,15869103.0,15/869103
2/14/2018,15896470.0,15/896470
1/12/2018,15870539.0,15/870539
1/22/2018,15876873.0,15/876873
1/12/2018,15869687.0,15/869687
1/30/2018,15883840.0,15/883840
1/19/2018,15874884.0,15/874884
1/5/2018,15863601.0,15/863601
3/12/2018,15918012.0,15/918012
2/8/2018,15891712.0,15/891712
1/3/2018,15861645.0,15/861645
1/30/2018,15883993.0,15/883993
2/23/2018,15904082.0,15/904082
1/4/2018,15862110.0,15/862110
1/26/2018,15881177.0,15/881177
1/11/2018,15868450.0,15/868450
1/11/2018,15868459.0,15/868459
2/8/2018,15891922.0,15/891922
