app_date,app_number,app_id
1/1/2018,12,12
1/10/2018,157,157
1/11/2018,138,138
1/12/2018,149,149
1/13/2018,12,12
1/14/2018,10,10
1/15/2018,89,89
1/16/2018,92,92
1/17/2018,83,83
1/18/2018,107,107
1/19/2018,120,120
1/2/2018,109,109
1/20/2018,4,4
1/21/2018,7,7
1/22/2018,104,104
1/23/2018,73,73
1/24/2018,111,111
1/25/2018,97,97
1/26/2018,106,106
1/27/2018,5,5
1/28/2018,4,4
1/29/2018,134,134
1/3/2018,114,114
1/30/2018,95,95
1/31/2018,102,102
1/4/2018,100,100
1/5/2018,126,126
1/6/2018,2,2
1/7/2018,2,2
1/8/2018,131,131
1/9/2018,119,119
10/1/2018,3,3
10/10/2018,3,3
10/11/2018,1,1
10/15/2018,1,1
10/16/2018,2,2
10/17/2018,2,2
10/18/2018,2,2
10/19/2018,2,2
10/2/2018,7,7
10/20/2018,1,1
10/22/2018,1,1
10/23/2018,1,1
10/24/2018,1,1
10/26/2018,1,1
10/29/2018,2,2
10/3/2018,2,2
10/30/2018,1,1
10/31/2018,1,1
10/4/2018,2,2
10/8/2018,1,1
11/2/2018,1,1
11/20/2018,1,1
11/29/2018,1,1
2/1/2018,85,85
2/10/2018,3,3
2/11/2018,5,5
2/12/2018,132,132
2/13/2018,93,93
2/14/2018,113,113
2/15/2018,84,84
2/16/2018,25,25
2/17/2018,9,9
2/18/2018,7,7
2/19/2018,63,63
2/2/2018,117,117
2/20/2018,133,133
2/21/2018,69,69
2/22/2018,79,79
2/23/2018,87,87
2/24/2018,6,6
2/25/2018,6,6
2/26/2018,111,111
2/27/2018,102,102
2/28/2018,101,101
2/3/2018,4,4
2/4/2018,4,4
2/5/2018,87,87
2/6/2018,104,104
2/7/2018,73,73
2/8/2018,89,89
2/9/2018,103,103
3/1/2018,72,72
3/10/2018,8,8
3/11/2018,7,7
3/12/2018,104,104
3/13/2018,80,80
3/14/2018,86,86
3/15/2018,78,78
3/16/2018,76,76
3/17/2018,6,6
3/18/2018,7,7
3/19/2018,138,138
3/2/2018,65,65
3/20/2018,76,76
3/21/2018,51,51
3/22/2018,65,65
3/23/2018,79,79
3/24/2018,5,5
3/26/2018,72,72
3/27/2018,65,65
3/28/2018,64,64
3/29/2018,79,79
3/3/2018,3,3
3/30/2018,56,56
3/31/2018,10,10
3/4/2018,6,6
3/5/2018,116,116
3/6/2018,88,88
3/7/2018,75,75
3/8/2018,96,96
3/9/2018,75,75
4/1/2018,1,1
4/10/2018,65,65
4/11/2018,46,46
4/12/2018,56,56
4/13/2018,55,55
4/14/2018,2,2
4/15/2018,3,3
4/16/2018,56,56
4/17/2018,42,42
4/18/2018,47,47
4/19/2018,60,60
4/2/2018,69,69
4/20/2018,67,67
4/21/2018,1,1
4/22/2018,3,3
4/23/2018,65,65
4/24/2018,75,75
4/25/2018,56,56
4/26/2018,37,37
4/27/2018,84,84
4/28/2018,2,2
4/29/2018,3,3
4/3/2018,57,57
4/30/2018,79,79
4/4/2018,53,53
4/5/2018,43,43
4/6/2018,66,66
4/7/2018,3,3
4/8/2018,5,5
4/9/2018,73,73
5/1/2018,39,39
5/10/2018,40,40
5/11/2018,37,37
5/12/2018,3,3
5/13/2018,2,2
5/14/2018,30,30
5/15/2018,46,46
5/16/2018,30,30
5/17/2018,45,45
5/18/2018,47,47
5/19/2018,4,4
5/2/2018,34,34
5/20/2018,6,6
5/21/2018,46,46
5/22/2018,41,41
5/23/2018,38,38
5/24/2018,52,52
5/25/2018,51,51
5/26/2018,1,1
5/28/2018,5,5
5/29/2018,40,40
5/3/2018,36,36
5/30/2018,40,40
5/31/2018,37,37
5/4/2018,51,51
5/5/2018,2,2
5/6/2018,5,5
5/7/2018,55,55
5/8/2018,46,46
5/9/2018,35,35
6/1/2018,56,56
6/11/2018,46,46
6/12/2018,38,38
6/13/2018,38,38
6/14/2018,27,27
6/15/2018,21,21
6/16/2018,1,1
6/17/2018,1,1
6/18/2018,25,25
6/19/2018,20,20
6/2/2018,4,4
6/20/2018,26,26
6/21/2018,34,34
6/22/2018,31,31
6/23/2018,2,2
6/24/2018,3,3
6/25/2018,24,24
6/26/2018,38,38
6/27/2018,26,26
6/28/2018,35,35
6/29/2018,34,34
6/3/2018,1,1
6/30/2018,1,1
6/4/2018,40,40
6/5/2018,25,25
6/6/2018,20,20
6/7/2018,28,28
6/8/2018,34,34
6/9/2018,1,1
7/1/2018,1,1
7/10/2018,19,19
7/11/2018,21,21
7/12/2018,25,25
7/13/2018,30,30
7/14/2018,1,1
7/16/2018,29,29
7/17/2018,27,27
7/18/2018,18,18
7/19/2018,26,26
7/2/2018,25,25
7/20/2018,18,18
7/21/2018,1,1
